ID 	 arg1 	 arg2
P734	{SRC-PROP-DESC=[person], EQUI-PROP=[Person], INST-FACET=[human]}	{SRC-PROP-DESC=[surname, last, name], EQUI-PROP2=[Text], SRC-PROP-LABEL=[surname], SUB-ITEM=[family name]}
P735	{SRC-PROP-DESC=[person], INST-FACET=[human]}	{SRC-PROP-DESC=[name, first], SRC-PROP-LABEL=[name], SUB-ITEM=[given name]}
P736	{}	{SRC-PROP-DESC=[name, person], SRC-PROP-LABEL=[cover, artist]}
P737	{SRC-PROP-DESC=[person, idea, etc.]}	{SRC-PROP-DESC=[person, other, idea]}
P738	{SRC-PROP-DESC=[person, other, idea], SRC-PROP-LABEL=[influence]}	{}
P739	{SRC-PROP-DESC=[weapon]}	{SRC-PROP-DESC=[cartridge, other, ammunition], SRC-PROP-LABEL=[ammunition]}
P740	{SRC-PROP-DESC=[group, organization], INST-FACET=[organization], SRC-PROP-LABEL=[formation]}	{SRC-PROP-DESC=[location], SRC-PROP-LABEL=[location]}
P741	{SRC-PROP-DESC=[tennis], INST-FACET=[human]}	{SRC-PROP-DESC=[hand], SRC-PROP-LABEL=[hand]}
P742	{SRC-PROP-DESC=[person], INST-FACET=[human]}	{SRC-PROP-DESC=[someone, alias, used], SRC-PROP-LABEL=[pseudonym], SUB-ITEM=[pseudonym]}
P744	{SRC-PROP-DESC=[elements, similar, proper, orbital]}	{SRC-PROP-DESC=[population, asteroids], SRC-PROP-LABEL=[asteroid, family], SUB-ITEM=[asteroid family]}
P745	{SRC-PROP-LABEL=[ID, Biography]}	{SRC-PROP-LABEL=[Bibliography, Low, German]}
P746	{SRC-PROP-DESC=[alive], INST-FACET=[death, birth, human], SRC-PROP-LABEL=[disappearance]}	{SRC-PROP-DESC=[person], SRC-PROP-LABEL=[date]}
P747	{SRC-PROP-DESC=[edition]}	{SRC-PROP-LABEL=[edition]}
P748	{SRC-PROP-DESC=[qualifier], INST-FACET=[qualifier]}	{SRC-PROP-DESC=[person]}
P749	{SRC-PROP-DESC=[subsidiaries], INST-FACET=[organization]}	{SRC-PROP-DESC=[parent], SUB-PROP=[proprietor], INVS-PROP=[organization], SRC-PROP-LABEL=[parent, company]}
P750	{SRC-PROP-DESC=[work, creative]}	{SRC-PROP-DESC=[distributor], SRC-PROP-LABEL=[distributor]}
P751	{}	{SRC-PROP-LABEL=[feature]}
P756	{}	{SRC-PROP-LABEL=[feature]}
P757	{SRC-PROP-DESC=[UNESCO], INST-FACET=[cultural heritage]}	{SRC-PROP-DESC=[site, reference, number], SRC-PROP-LABEL=[World, Heritage, Site, id]}
P758	{SRC-PROP-DESC=[Riksantikvaren], INST-FACET=[cultural heritage]}	{SRC-PROP-DESC=[heritage, Norwegian, property], SRC-PROP-LABEL=[identifier, Kulturminne]}
P759	{SRC-PROP-DESC=[laces, Historic], INST-FACET=[cultural heritage], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[identification, number], SRC-PROP-LABEL=[Alberta, Register], SUB-ITEM=[Alberta Register of Historic Places]}
P760	{SRC-PROP-LABEL=[ID, LA]}	{SRC-PROP-LABEL=[D]}
P761	{SRC-PROP-DESC=[Database, Swedish, National, Water, Information]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[VISS, ID]}
P762	{SRC-PROP-DESC=[Republic, Czech], INST-FACET=[cultural heritage], SRC-PROP-LABEL=[ID]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[heritage, Czech, cultural]}
P763	{SRC-PROP-DESC=[Canada, Edward, Island], INST-FACET=[cultural heritage], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[EI, Register]}
P764	{SRC-PROP-DESC=[formations, municipal], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[OKTMO]}
P765	{SRC-PROP-DESC=[tournament]}	{SRC-PROP-DESC=[surface], SRC-PROP-LABEL=[surface]}
P767	{SRC-PROP-DESC=[creation]}	{SRC-PROP-DESC=[person, organization], SRC-PROP-LABEL=[contributor]}
P768	{}	{SRC-PROP-DESC=[person, members], SRC-PROP-LABEL=[district, electoral], SUB-ITEM=[constituency]}
P769	{SRC-PROP-DESC=[intake, concomitant, effectiveness, altered, adverse, drug, events, lead]}	{SRC-PROP-DESC=[interaction, two], SRC-PROP-LABEL=[drug, significant, interaction]}
P770	{SRC-PROP-DESC=[destruction], SRC-PROP-LABEL=[destruction]}	{SRC-PROP-DESC=[item], SRC-PROP-LABEL=[cause]}
P771	{SRC-PROP-DESC=[Switzerland]}	{SRC-PROP-DESC=[id], SRC-PROP-LABEL=[municipality, Swiss, code]}
P772	{SRC-PROP-DESC=[Office, Spanish, Statistical], SRC-PROP-LABEL=[code, municipality]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[INE]}
P773	{SRC-PROP-DESC=[ISO, 3166-1]}	{SRC-PROP-DESC=[codes, country], SRC-PROP-LABEL=[ISO, 3166-3]}
P774	{SRC-PROP-DESC=[S], SRC-PROP-LABEL=[S, FI]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[FI, S]}
P775	{SRC-PROP-DESC=[Sweden], SRC-PROP-LABEL=[code]}	{SRC-PROP-DESC=[area, urban, code], SRC-PROP-LABEL=[area, Swedish, urban]}
P776	{SRC-PROP-DESC=[Sweden], SRC-PROP-LABEL=[code]}	{SRC-PROP-DESC=[area, urban, code], SRC-PROP-LABEL=[area, Swedish, minor, urban]}
P777	{SRC-PROP-DESC=[Sweden], SRC-PROP-LABEL=[code, code/ATA]}	{SRC-PROP-DESC=[parish, civil, code], SRC-PROP-LABEL=[parish, Swedish, civil]}
